Data,Ano,Mês,Nome do mês,Trimestre,Semana do ano,Semana do mês,Day,Dia da semana,Nome do dia da semana
08/01/20,2020,1,janeiro,1,2,2,8,3,quarta-feira
08/02/20,2020,2,fevereiro,1,6,2,8,6,sábado
08/03/20,2020,3,março,1,11,2,8,0,domingo
08/04/20,2020,4,abril,2,15,2,8,3,quarta-feira
08/05/20,2020,5,maio,2,19,2,8,5,sexta-feira
08/06/20,2020,6,junho,2,24,2,8,1,segunda-feira
08/07/20,2020,7,julho,3,28,2,8,3,quarta-feira
08/08/20,2020,8,agosto,3,32,2,8,6,sábado
08/09/20,2020,9,setembro,3,37,2,8,2,terça-feira
08/10/20,2020,10,outubro,4,41,2,8,4,quinta-feira
08/11/20,2020,11,novembro,4,46,2,8,0,domingo
08/12/20,2020,12,dezembro,4,50,2,8,2,terça-feira
08/01/21,2021,1,janeiro,1,2,2,8,5,sexta-feira
08/02/21,2021,2,fevereiro,1,7,2,8,1,segunda-feira
08/03/21,2021,3,março,1,11,2,8,1,segunda-feira
08/04/21,2021,4,abril,2,15,2,8,4,quinta-feira
08/05/21,2021,5,maio,2,19,2,8,6,sábado
08/06/21,2021,6,junho,2,24,2,8,2,terça-feira
08/07/21,2021,7,julho,3,28,2,8,4,quinta-feira
08/08/21,2021,8,agosto,3,33,2,8,0,domingo
08/09/21,2021,9,setembro,3,37,2,8,3,quarta-feira
08/10/21,2021,10,outubro,4,41,2,8,5,sexta-feira
08/11/21,2021,11,novembro,4,46,2,8,1,segunda-feira
08/12/21,2021,12,dezembro,4,50,2,8,3,quarta-feira
08/01/22,2022,1,janeiro,1,2,2,8,6,sábado
08/02/22,2022,2,fevereiro,1,7,2,8,2,terça-feira
08/03/22,2022,3,março,1,11,2,8,2,terça-feira
08/04/22,2022,4,abril,2,15,2,8,5,sexta-feira
08/05/22,2022,5,maio,2,20,2,8,0,domingo
08/06/22,2022,6,junho,2,24,2,8,3,quarta-feira
08/07/22,2022,7,julho,3,28,2,8,5,sexta-feira
08/08/22,2022,8,agosto,3,33,2,8,1,segunda-feira
08/09/22,2022,9,setembro,3,37,2,8,4,quinta-feira
08/10/22,2022,10,outubro,4,41,2,8,6,sábado
08/11/22,2022,11,novembro,4,46,2,8,2,terça-feira
08/12/22,2022,12,dezembro,4,50,2,8,4,quinta-feira
08/01/23,2023,1,janeiro,1,2,2,8,0,domingo
08/02/23,2023,2,fevereiro,1,6,2,8,3,quarta-feira
08/03/23,2023,3,março,1,10,2,8,3,quarta-feira
08/04/23,2023,4,abril,2,14,2,8,6,sábado
08/05/23,2023,5,maio,2,19,2,8,1,segunda-feira
08/06/23,2023,6,junho,2,23,2,8,4,quinta-feira
08/07/23,2023,7,julho,3,27,2,8,6,sábado
08/08/23,2023,8,agosto,3,32,2,8,2,terça-feira
08/09/23,2023,9,setembro,3,36,2,8,5,sexta-feira
08/10/23,2023,10,outubro,4,41,2,8,0,domingo
08/11/23,2023,11,novembro,4,45,2,8,3,quarta-feira
08/12/23,2023,12,dezembro,4,49,2,8,5,sexta-feira
08/01/24,2024,1,janeiro,1,2,2,8,1,segunda-feira
08/02/24,2024,2,fevereiro,1,6,2,8,4,quinta-feira
08/03/24,2024,3,março,1,10,2,8,5,sexta-feira
08/04/24,2024,4,abril,2,15,2,8,1,segunda-feira
08/05/24,2024,5,maio,2,19,2,8,3,quarta-feira
08/06/24,2024,6,junho,2,23,2,8,6,sábado
08/07/24,2024,7,julho,3,28,2,8,1,segunda-feira
08/08/24,2024,8,agosto,3,32,2,8,4,quinta-feira
08/09/24,2024,9,setembro,3,37,2,8,0,domingo
08/10/24,2024,10,outubro,4,41,2,8,2,terça-feira
08/11/24,2024,11,novembro,4,45,2,8,5,sexta-feira
08/12/24,2024,12,dezembro,4,50,2,8,0,domingo
08/01/25,2025,1,janeiro,1,2,2,8,3,quarta-feira
08/02/25,2025,2,fevereiro,1,6,2,8,6,sábado
08/03/25,2025,3,março,1,10,2,8,6,sábado
08/04/25,2025,4,abril,2,15,2,8,2,terça-feira
08/05/25,2025,5,maio,2,19,2,8,4,quinta-feira
08/06/25,2025,6,junho,2,24,2,8,0,domingo
08/07/25,2025,7,julho,3,28,2,8,2,terça-feira
08/08/25,2025,8,agosto,3,32,2,8,5,sexta-feira
08/09/25,2025,9,setembro,3,37,2,8,1,segunda-feira
08/10/25,2025,10,outubro,4,41,2,8,3,quarta-feira
08/11/25,2025,11,novembro,4,45,2,8,6,sábado
