PrcCode,PrcName,ord
1,Unidade 1,1
2,Unidade 2,2
3,Unidade 3,3
4,Unidade 4,4
5,Unidade 5,5
6,Unidade 6,6
7,Unidade 7,7
8,Unidade 8,8
9,Unidade 9,9
10,Unidade 10,10
11,Unidade 11,11
12,Drafor Retail,24
13,Drafor Energia,25
14,Consórcio Equin,26
15,Geral,27
16,Flash Card,28
17,Serviços Financeiros,29
18,Presidência,30
19,Finanças,31
20,Administrativo,32
21,Jurídico,33
22,TI,34
23,Operações,35
24,Energia,36
25,Comercial,37
26,Marketing,38
27,Estratégia Corporativa,39
28,Gente e Sustentabilidade,40
29,Performance,41
30,Vatos,42
31,Atendimento,43
32,Serviços de monitoramento,44
33,Unidade 12,12
34,Unidade 13,13
36,Unidade 14,14
37,Unidade 15,15
38,Unidade 16,16
39,Unidade 17,17
41,Unidade 18,18
40,Unidade 19,19
42,Unidade 20,20
43,Unidade 21,21
44,Unidade 22,22
35,Unidade 23,23
