OcrCode,Instance,AcctCode,Data,Orc
26,15,401010102,01/01/24,"-98106,4999999999"
26,15,401010102,01/02/24,"-98106,4999999999"
26,15,401010102,01/03/24,"-98106,4999999999"
26,15,401010102,01/04/24,"-98106,4999999999"
26,15,401010102,01/05/24,"-98106,4999999999"
26,15,401010102,01/06/24,"-98106,4999999999"
26,15,401010102,01/07/24,"-98106,4999999999"
26,15,401010102,01/08/24,"-98106,4999999999"
26,15,401010102,01/09/24,"-98106,4999999999"
26,15,401010102,01/10/24,"-98106,4999999999"
26,15,401010102,01/11/24,"-98106,4999999999"
26,15,401010102,01/12/24,"-98106,4999999999"
18,15,401010302,01/01/24,"-12858,5"
18,15,401010302,01/02/24,"-12858,5"
18,15,401010302,01/03/24,"-12858,5"
18,15,401010302,01/04/24,"-12858,5"
18,15,401010302,01/05/24,"-12858,5"
18,15,401010302,01/06/24,"-12858,5"
18,15,401010302,01/07/24,"-12858,5"
18,15,401010302,01/08/24,"-12858,5"
18,15,401010302,01/09/24,"-12858,5"
18,15,401010302,01/10/24,"-12858,5"
18,15,401010302,01/11/24,"-12858,5"
18,15,401010302,01/12/24,"-12858,5"
18,15,401010412,01/01/24,"-83074,805"
18,15,401010412,01/02/24,"-83074,805"
18,15,401010412,01/03/24,"-83074,805"
18,15,401010412,01/04/24,"-83074,805"
18,15,401010412,01/05/24,"-83074,805"
18,15,401010412,01/06/24,"-83074,805"
18,15,401010412,01/07/24,"-83074,805"
18,15,401010412,01/08/24,"-83074,805"
18,15,401010412,01/09/24,"-83074,805"
18,15,401010412,01/10/24,"-83074,805"
18,15,401010412,01/11/24,"-83074,805"
18,15,401010412,01/12/24,"-83074,805"
24,15,401010412,01/01/24,"-29474,50375"
24,15,401010412,01/02/24,"-29474,50375"
24,15,401010412,01/03/24,"-29474,50375"
24,15,401010412,01/04/24,"-29474,50375"
24,15,401010412,01/05/24,"-29474,50375"
24,15,401010412,01/06/24,"-29474,50375"
24,15,401010412,01/07/24,"-29474,50375"
24,15,401010412,01/08/24,"-29474,50375"
24,15,401010412,01/09/24,"-29474,50375"
24,15,401010412,01/10/24,"-29474,50375"
24,15,401010412,01/11/24,"-29474,50375"
24,15,401010412,01/12/24,"-29474,50375"
26,15,401010418,01/01/24,"-145148,75"
26,15,401010418,01/02/24,"-145148,75"
26,15,401010418,01/03/24,"-145148,75"
26,15,401010418,01/04/24,"-145148,75"
26,15,401010418,01/05/24,"-145148,75"
26,15,401010418,01/06/24,"-145148,75"
26,15,401010418,01/07/24,"-145148,75"
26,15,401010418,01/08/24,"-145148,75"
26,15,401010418,01/09/24,"-145148,75"
26,15,401010418,01/10/24,"-145148,75"
26,15,401010418,01/11/24,"-145148,75"
26,15,401010418,01/12/24,"-145148,75"
18,15,401010537,01/01/24,"-12969,425"
18,15,401010537,01/02/24,"-12969,425"
