Código,Descrição,Nível 0,Nivel 1,Nível 2,Nível 3,Nivel 4
101,Circulante,,Circulante,,,
10101,Disponibilidades,,Circulante,Disponibilidades,,
1010101,Caixa,,Circulante,Disponibilidades,Caixa,
101010101,Caixa Geral,,Circulante,Disponibilidades,Caixa,Caixa Geral
101010102,Valores Transitórios,,Circulante,Disponibilidades,Caixa,Valores Transitórios
101010103,Transitoria De Renegociação,,Circulante,Disponibilidades,Caixa,Transitoria De Renegociação
1010102,Bancos,,Circulante,Disponibilidades,Bancos,Transitoria De Renegociação
101010201,Banco Itaú,,Circulante,Disponibilidades,Bancos,Banco Itaú
101010202,Banco Do Brasil,,Circulante,Disponibilidades,Bancos,Banco Do Brasil
101010203,Banco Topázio,,Circulante,Disponibilidades,Bancos,Banco Topázio
101010204,Banco Sunpay Bank,,Circulante,Disponibilidades,Bancos,Banco Sunpay Bank
101010205,Banco Rendimento,,Circulante,Disponibilidades,Bancos,Banco Rendimento
101010206,Banco Celcoin (Digital),,Circulante,Disponibilidades,Bancos,Banco Celcoin (Digital)
101010207,Banco Pagarme,,Circulante,Disponibilidades,Bancos,Banco Pagarme
101010208,Banco Bradesco - 1781-7,,Circulante,Disponibilidades,Bancos,Banco Bradesco - 1781-7
1010103,Aplicações Financeiras,,Circulante,Disponibilidades,Aplicações Financeiras,Banco Bradesco - 1781-7
101010301,Aplic. Financeira Banco Do Brasil,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic. Financeira Banco Do Brasil
101010302,Aplic. Financeira Banco Itau,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic. Financeira Banco Itau
101010303,Aplic Autom - Banco Do Brasil,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic Autom - Banco Do Brasil
101010304,Cdb Plus,,Circulante,Disponibilidades,Aplicações Financeiras,Cdb Plus
101010305,Aplic Aut Mais,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic Aut Mais
101010306,Aplic. Financeira Rende Fácil - Banco Do Brasil,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic. Financeira Rende Fácil - Banco Do Brasil
101010307,Aplic Cdb Bradesco,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic Cdb Bradesco
101010308,Aplic. Invest Fácil - Bradesco,,Circulante,Disponibilidades,Aplicações Financeiras,Aplic. Invest Fácil - Bradesco
1010104,Títulos E Valores Mobiliários,,Circulante,Disponibilidades,Títulos E Valores Mobiliários,Aplic. Invest Fácil - Bradesco
101010401,Valores Mobiliários - Mercado De Capitais Interno,,Circulante,Disponibilidades,Títulos E Valores Mobiliários,Valores Mobiliários - Mercado De Capitais Interno
101010402,Valores Mobiliários - Mercado De Capitais Externo,,Circulante,Disponibilidades,Títulos E Valores Mobiliários,Valores Mobiliários - Mercado De Capitais Externo
1010105,Valores Mobiliários - Aplicações De Subvenções,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Subvenções,Valores Mobiliários - Mercado De Capitais Externo
101010501,Valores Mobiliários - Aplicações De Subvenções,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Subvenções,Valores Mobiliários - Aplicações De Subvenções
1010106,Valores Mobiliários - Aplicações De Doações,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Doações,Valores Mobiliários - Aplicações De Subvenções
101010601,Valores Mobiliários - Aplicações De Doações,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Doações,Valores Mobiliários - Aplicações De Doações
1010107,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições,Valores Mobiliários - Aplicações De Doações
101010701,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições,,Circulante,Disponibilidades,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições
10102,Estoques,,Circulante,Estoques,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições
1010201,Estoques,,Circulante,Estoques,Estoques,Valores Mobiliários - Aplicações De Outros Recursos Sujeitos A Restrições
101020101,Mercadorias Para Revenda,,Circulante,Estoques,Estoques,Mercadorias Para Revenda
101020102,Produtos Acabados,,Circulante,Estoques,Estoques,Produtos Acabados
101020103,Produtos Em Elaboração,,Circulante,Estoques,Estoques,Produtos Em Elaboração
101020104,1.01.02.01.04,,Circulante,Estoques,Estoques,1.01.02.01.04
101020105,Matérias-Primas (Insumos),,Circulante,Estoques,Estoques,Matérias-Primas (Insumos)
101020106,Materiais De Embalagem,,Circulante,Estoques,Estoques,Materiais De Embalagem
101020107,Estoque De Terceiro,,Circulante,Estoques,Estoques,Estoque De Terceiro
101020108,Estoque Em Poder De Terceiro,,Circulante,Estoques,Estoques,Estoque Em Poder De Terceiro
101020109,Estoque De Carbono,,Circulante,Estoques,Estoques,Estoque De Carbono
101020199,( - ) Transitória - Recebimento Físico/Fiscal,,Circulante,Estoques,Estoques,( - ) Transitória - Recebimento Físico/Fiscal
1010202,Estoques De Importação Em Andamento,,Circulante,Estoques,Estoques De Importação Em Andamento,( - ) Transitória - Recebimento Físico/Fiscal
101020201,Importação Em Andamento,,Circulante,Estoques,Estoques De Importação Em Andamento,Importação Em Andamento
1010203,Compras Para Entrega Futura,,Circulante,Estoques,Compras Para Entrega Futura,Importação Em Andamento
101020301,Compras Para Entrega Futura,,Circulante,Estoques,Compras Para Entrega Futura,Compras Para Entrega Futura
1010204,Imóveis Destinados À Venda,,Circulante,Estoques,Imóveis Destinados À Venda,Compras Para Entrega Futura
